# ----------------------------------------
# one2team.com - primary reporting
# New Custom Report
# 20161101-20170131
# ----------------------------------------

Date,Source,Medium,Sessions,Pageviews,Time on Page
20161116,images.google.fr,referral,4,6,00:01:25
20161116,linkedin.com,referral,4,12,00:03:38
20161121,capterra.com,cpc,4,9,00:05:25
20161121,images.google,organic,4,7,00:00:24
20161122,capterra.com,cpc,4,4,00:00:00
20161129,bing,organic,4,5,00:00:16
20161130,linkedin.com,referral,4,12,00:05:50
20161201,linkedin.com,referral,4,9,00:23:25
20161204,images.google.fr,referral,4,5,00:00:03
20161205,bing,organic,4,4,00:00:00
20161211,images.google,organic,4,6,00:03:00
20161212,images.google.fr,referral,4,5,00:00:02
20161213,images.google.fr,referral,4,7,00:00:57
20161215,bing,organic,4,9,00:20:56
20161215,linkedin,cpc,4,5,00:08:31
20161216,l.facebook.com,referral,4,19,00:17:07
20161219,bing,organic,4,5,00:00:06
20161220,images.google.fr,referral,4,6,00:00:29
20161220,linkedin,cpc,4,6,00:01:34
20161220,m.facebook.com,referral,4,4,00:00:00
20161221,bing,organic,4,9,00:04:30
20161221,linkedin.com,referral,4,8,00:00:57
20161224,(direct),(none),4,5,00:00:06
20161226,linkedin.com,referral,4,5,00:00:30
20170102,capterra.com,cpc,4,9,00:16:29
20170105,images.google,organic,4,9,00:11:56
20170110,linkedin,cpc,4,7,00:01:12
20170111,images.google.fr,referral,4,6,00:00:13
20170111,l.facebook.com,referral,4,4,00:00:00
20170112,bing,organic,4,6,00:01:45
20170112,capterra.com,cpc,4,6,00:03:51
20170112,linkedin,cpc,4,6,00:00:25
20170113,images.google,organic,4,6,00:00:32
20170116,l.facebook.com,referral,4,4,00:00:00
20170117,bing,organic,4,21,00:05:47
20170117,l.facebook.com,referral,4,6,00:01:23
20170118,facebook,cpc,4,7,00:01:47
20170119,bing,organic,4,17,00:15:37
20170119,facebook,cpc,4,7,00:02:07
20170122,linkedin.com,referral,4,18,00:50:50
20170123,bing,organic,4,6,00:05:40
20170124,capterra.com,cpc,4,15,00:07:46
20170124,hs_email,email,4,7,00:03:20
20170129,images.google.fr,referral,4,5,00:00:10
20170130,hs_email,email,4,6,00:18:45
20161101,l.facebook.com,referral,3,6,00:23:20
20161102,bing,organic,3,4,00:00:23
20161102,images.google.fr,referral,3,6,00:00:09
20161103,bing,organic,3,6,00:00:36
20161103,images.google.fr,referral,3,4,00:00:17
20161104,bing,organic,3,3,00:00:00
20161104,excellence-operationnelle.info,referral,3,10,00:07:11
20161104,l.facebook.com,referral,3,20,00:34:16
20161104,linkedin.com,referral,3,5,00:01:39
20161105,facebook,cpc,3,4,00:00:00
20161107,linkedin.com,referral,3,4,00:02:24
20161108,l.facebook.com,referral,3,5,00:00:31
20161109,bing,organic,3,6,00:02:01
20161110,bing,organic,3,16,00:20:43
20161110,facebook.com,referral,3,8,00:18:23
20161110,linkedin.com,referral,3,3,00:00:00
20161111,twitter,social,3,4,00:01:15
20161112,facebook,cpc,3,4,00:09:10
20161113,facebook,cpc,3,3,00:00:00
20161114,linkedin.com,referral,3,12,00:26:39
20161114,twitter,social,3,3,00:00:00
20161115,images.google,organic,3,3,00:00:00
20161116,methodo-projet.fr,referral,3,8,00:13:55
20161116,one2team.wpengine.com,referral,3,103,01:47:14
20161117,linkedin.com,referral,3,6,00:07:28
20161118,lnkd.in,referral,3,3,00:00:00
20161118,yahoo,organic,3,6,00:03:51
20161119,lnkd.in,referral,3,3,00:00:00
20161120,images.google.fr,referral,3,3,00:00:00
20161121,bing,organic,3,7,00:01:11
20161122,bing,organic,3,6,00:02:20
20161122,l.facebook.com,referral,3,3,00:00:00
20161122,one2team.wpengine.com,referral,3,20,01:14:13
20161124,images.google,organic,3,18,00:07:23
20161124,images.google.fr,referral,3,7,00:04:32
20161124,linkedin,social,3,3,00:00:00
20161125,images.google.fr,referral,3,9,00:01:29
20161127,images.google.fr,referral,3,5,00:00:06
20161128,bing,organic,3,9,00:15:26
20161129,app01.softwareadvice.com,referral,3,5,00:01:46
20161130,bing,organic,3,7,00:07:16
20161203,images.google.fr,referral,3,3,00:00:00
20161204,localhost,referral,3,3,00:00:00
20161206,images.google.fr,referral,3,3,00:00:00
20161207,blog.capterra.com,referral,3,37,00:44:12
20161207,linkedin,cpc,3,5,00:07:27
20161208,linkedin,social,3,4,00:00:12
20161208,linkedin.com,referral,3,7,00:00:47
20161209,images.google.fr,referral,3,4,00:00:40
20161209,journaldunet.com,referral,3,4,00:03:15
20161210,images.google.fr,referral,3,3,00:00:01
20161210,linkedin,cpc,3,4,00:01:43
20161211,linkedin,cpc,3,4,00:05:16
20161212,capterra.com,cpc,3,3,00:00:00
20161212,linkedin,cpc,3,3,00:00:00
20161213,blog.capterra.com,referral,3,7,00:02:25
20161214,blog.capterra.com,referral,3,8,00:12:40
20161214,images.google.fr,referral,3,3,00:00:00
20161216,images.google.fr,referral,3,5,00:00:51
20161216,linkedin,cpc,3,3,00:00:00
20161216,t.co,referral,3,6,00:25:56
20161217,images.google.fr,referral,3,4,00:00:03
20161221,capterra.com,cpc,3,5,00:00:47
20161221,images.google.fr,referral,3,3,00:00:00
20161221,l.facebook.com,referral,3,4,00:00:44
20161221,linkedin,social,3,5,00:00:41
20161223,bing,organic,3,18,00:38:09
20161226,images.google.fr,referral,3,3,00:00:00
20161227,hs_automation,email,3,3,00:00:00
20161228,images.google,organic,3,7,00:01:16
20161228,images.google.fr,referral,3,3,00:00:00
20161228,linkedin.com,referral,3,5,00:01:17
20161229,hs_automation,email,3,3,00:00:47
20170102,bing,organic,3,5,00:01:05
20170102,linkedin,cpc,3,7,00:02:04
20170104,bing,organic,3,5,00:03:59
20170108,linkedin,cpc,3,4,00:01:31
20170109,linkedin,cpc,3,4,00:00:14
20170109,linkedin.com,referral,3,10,00:44:27
20170110,capterra.com,cpc,3,10,00:03:46
20170110,images.google.fr,referral,3,5,00:00:17
20170111,hs_email,email,3,6,00:37:34
20170111,linkedin,cpc,3,3,00:01:29
20170111,yahoo,organic,3,5,00:19:35
20170113,bing,organic,3,3,00:00:00
20170114,images.google.fr,referral,3,4,00:00:06
20170114,linkedin,cpc,3,3,00:00:00
20170116,bing,organic,3,5,00:00:29
20170116,lnkd.in,referral,3,3,00:00:00
20170118,linkedin.com,referral,3,5,00:03:04
20170119,images.google.fr,referral,3,7,00:05:49
20170119,l.facebook.com,referral,3,5,00:00:32
20170119,linkedin.com,referral,3,11,00:02:47
20170119,yahoo,organic,3,11,00:07:10
20170120,bing,organic,3,11,00:04:16
20170121,linkedin.com,referral,3,14,00:10:09
20170123,linkedin.com,referral,3,4,00:02:04
20170124,facebook,social,3,3,00:00:00
20170125,capterra.com,cpc,3,9,00:06:57
20170125,hs_email,email,3,6,00:18:23
20170125,images.google,organic,3,3,00:00:00
20170125,images.google.fr,referral,3,3,00:00:00
20170125,l.facebook.com,referral,3,3,00:00:00
20170126,images.google.fr,referral,3,3,00:00:00
20170126,linkedin.com,referral,3,5,00:01:41
20170127,bing,organic,3,4,00:01:28
20170127,capterra.com,cpc,3,9,00:41:34
20170127,linkedin.com,referral,3,6,00:00:38
20170130,capterra.com,cpc,3,5,00:00:27
20170130,hs_automation,email,3,10,00:10:44
20170131,hs_email,email,3,61,02:21:59
20161101,images.google,organic,2,2,00:00:00
20161101,images.google.fr,referral,2,2,00:00:00
20161101,logicielsaasfrenchtech.fr,referral,2,5,00:29:28
20161102,facebook,social,2,3,00:00:08
20161102,linkedin.com,referral,2,2,00:00:00
20161102,one2team.wpengine.com,referral,2,15,00:06:36
20161102,twitter.com,social,2,2,00:00:00
20161103,group-gac.com,referral,2,2,00:00:00
20161104,images.google.fr,referral,2,2,00:00:00
20161104,one2team.wpengine.com,referral,2,3,00:01:58
20161104,twitter.com,social,2,2,00:00:00
20161104,yahoo,organic,2,5,00:02:12
20161106,images.google,organic,2,2,00:00:00
20161107,bing,organic,2,4,00:00:16
20161108,t.co,referral,2,2,00:00:00
20161108,twitter.com,social,2,2,00:00:00
20161109,images.google.fr,referral,2,2,00:00:00
20161109,journaldunet.com,referral,2,2,00:00:00
20161109,ppc,(not set),2,2,00:00:00
20161110,images.google.fr,referral,2,2,00:00:00
20161110,l.facebook.com,referral,2,2,00:00:00
20161110,twitter.com,social,2,2,00:00:00
20161112,linkedin.com,referral,2,4,00:03:06
20161112,twitter.com,social,2,2,00:00:00
20161113,comparatif-logiciels.fr,referral,2,3,00:00:21
20161113,lespepitestech.com,referral,2,24,00:43:43
20161114,lespepitestech.com,referral,2,2,00:00:00
20161114,yahoo,organic,2,2,00:00:00
20161115,capterra.com,cpc,2,8,00:19:24
20161115,capterra.com,referral,2,10,00:24:52
20161115,excellence-operationnelle.info,referral,2,4,00:02:17
20161115,facebook,cpc,2,2,00:00:00
20161115,yahoo,organic,2,3,00:01:19
20161116,bing,organic,2,3,00:00:35
20161117,lnkd.in,referral,2,2,00:00:00
20161117,twitter,social,2,2,00:00:00
20161117,yahoo,organic,2,2,00:00:00
20161118,linkedin.com,referral,2,2,00:00:00
20161118,one2team.wpengine.com,referral,2,12,00:07:41
20161120,images.google,organic,2,2,00:00:00
20161121,fr.search.yahoo.com,referral,2,10,00:04:49
20161121,journaldunet.com,referral,2,2,00:00:00
20161121,linkedin,social,2,2,00:00:00
20161121,twitter,social,2,2,00:00:00
20161122,facebook,cpc,2,2,00:00:00
20161122,hs_automation,email,2,4,00:01:45
20161122,linkedin,social,2,2,00:00:00
20161123,images.google,organic,2,5,00:01:14
20161123,images.google.fr,referral,2,2,00:00:00
20161123,linkedin,cpc,2,2,00:00:00
20161123,linkedin.com,referral,2,5,00:09:55
20161123,logicielsaasfrenchtech.fr,referral,2,7,00:02:02
20161123,yahoo,organic,2,2,00:00:00
20161124,bing,organic,2,2,00:00:00
20161124,images.google.de,referral,2,2,00:00:00
20161124,linkedin.com,referral,2,6,00:01:55
20161124,outlook.live.com,referral,2,7,00:13:15
20161125,bing,organic,2,2,00:00:00
20161125,facebook,social,2,2,00:00:00
20161125,l.facebook.com,referral,2,39,01:15:00
20161126,images.google.fr,referral,2,2,00:00:00
20161126,twitter.com,social,2,2,00:00:00
20161128,l.facebook.com,referral,2,47,01:08:05
20161128,linkedin.com,referral,2,6,00:02:00
20161128,one2team.com,referral,2,5,00:14:19
20161128,twitter.com,social,2,2,00:00:00
20161129,facebook,social,2,3,00:00:07
20161130,images.google,organic,2,2,00:00:00
20161201,images.google,organic,2,2,00:00:00
20161201,l.facebook.com,referral,2,4,00:00:19
20161201,linkedin,social,2,5,00:04:45
20161201,twitter,social,2,3,00:07:10
20161202,group-gac.com,referral,2,2,00:00:00
20161202,linkedin.com,referral,2,2,00:00:00
20161202,qwant.com,referral,2,3,00:02:10
20161204,linkedin.com,referral,2,2,00:00:00
20161204,twitter.com,social,2,2,00:00:00
